,0
245,I like where you&#39;re going with this!
246,How do you look up credible data to import?
247,Thank you for the recommendations.<br><br>:)
248,Great video! Can&#39;t wait to for the next part!
249,So helpful Luke!  Thanks!
250,"HAHA, what a fun and informative video as usual.<br>Can&#39;t wait to utilise your advice."
251,Sweet as*! You&#39;re less than 10k subs away from that 6 digit subs! Congrats in advance Luke!
252,probably my most viewed channel. im very much interested in this and mainly the tools used. so can there be a detailed step-by-step guide on how the tasks are carried out?
253,Awesome video Luke! Looking forward to seeing the next videos of the series!
254,I recently made a mistake and got a dataset before I hopped on a plane ride and started to clean the data once the plane took off. I thought it would be a quick and easy Tableau project but I had more questions and needed to look up how to somethings in Tableau. Lesson learned.....
255,"If you really want to stand out, build a simple pipeline that takes financial statements from your financial regulation agency and put them in a T-SQL database.<br><br>Things you’ll need:<br><br>1. a database hosted locally.<br>2. links to the datasets.<br>3. Python and specially SQLmodel<br>4. Some tool to query the data, either VScode or DataGrip.<br><br>That will show potential employers that you now how to parse and pre process data from the web and do sth good with it."
256,Thank you Luke. Will be following this series. Currently learning python for analytics after following your channel for some months.
257,What a great channel for us rare few that enjoy data. I’m working to leave my current job and go get my masters in data science. Wish me luck Luke :)
258,"Luke&#39;s video pops, <b>grabs popcorn</b> Awesome stuff. Super helpful!"
259,"Love this channel.  I&#39;m really excited to get back to Data Analytics. I&#39;ve been taking care of my dad (dementia) he is no longer with us. So now back to focusing on the Analytics. I&#39;ve got a background in management, real estate, and government contracting."
260,"I learned Python before R, and based on my experience, the choice of programming language depends on the type of data objects I am working on. For example, sequence objects like ‘strings’ are very well handled in Python; there’s just so much you can do with it, like with parsing DNA sequences or text files from the web. User-defined functions that contain loops are also not a problem in terms of memory allocation. Python scripting is also used along with the ‘image‘ processing tool FIJI. However,  for manipulating and visualizing tabular data, R is just more elegant for me. I’m still new to R, but I find ‘data frame’ objects more easily accessible and visuals easier to code and just look more stunning in R, plus you can do all sorts of statistical analyses. However, since R uses ‘vectors’, e.g. a string is considered a vector of length 1, I’m just not yet so sure how much you can do with strings or how inefficient it could get as compared with Python."
261,says the guy wearing a shirt telling you he is/was a marine....
262,"for a data analyst, R is not enough, R is better"
263,"I am a python fanboy, but just learn both."
264,"For some, in data analytics, learning Python may very well be an unneeded distraction, when R is so much more to the point. Learn the one language you need, and learn it well. Google just might have it right here."
265,BI and such are excellent until it becomes time to share. As being proprietary they gum up the works when attempting to share interactive works. R has excellent visualisation and is open source solving both problems with a web page. Why waste time??
266,"R is definitely easier to get going with, when compared to Python. Python is less intuitive if you&#39;re not already programming in another language."
267,I lost you at “data”.
268,come on python fanboys data analysts mostly do reporting for c level and exactly this is working much better with R libraries than python. ML is not this important here.
269,Sometimes you say the same things again and again 😟. Overall very informative but editing can be better.
270,Great objective video!
271,I love your content!! thank you very much!!!!
272,"JavaScript is easiest to learn, compared to python, imo. Especially when you write a function with def instead func, thats counter intuitive. Or when there are no braces just tabs to indent code. You accidentally push the code by one space and the entire block doesn&#39;t execute. JS also gives you immediate visual reward by running the code in your browser or just console log it"
273,Shiny is a big advantage to R over Python.
274,Thank you Luke for all the good stuff.
275,There are many entry level DA job just let you do the data validation and SQL part. Don’t worry too much about R/Python. Eventually your job will force you to pick up both lol
276,Should I learn Python or R for business analyst?
277,LOL @ &quot;once I understood that R is barbaric&quot; i died laughing
278,"I once wrote a program in  R and it took 40 minutes to process 200+ CSV files and this was not acceptable.  I re-wrote the program in python and it completed the task in 3 minutes.  I then put R aside and specialized in python.   Be good in one language R/python but really good.  it is better to be good at one language really well than being a master of none :) .  R script is a little simplier than python but  once you get familiar, python is fun and powerful"
